OBJECTID,CSA2010,tpop10,male10,female10,paa17,pwhite17,pasi17,p2more17,ppac17,phisp17,racdiv17,age5_17,age18_17,age24_17,age64_17,age65_17,hhs10,femhhs17,fam17,hhsize10,mhhi17,hh25inc17,hh40inc17,hh60inc17,hh75inc17,hhm7517,hhpov17,hhchpov17,Shape__Area,Shape__Length
46,Southern Park Heights,13792,6230,7562,93.3222157772621,2.96548723897911,0.413283062645011,1.3776102088167,0.0362529002320185,1.88515081206496,15.3294887301603,6.68503480278422,14.5519141531322,7.94663573085846,55.5974477958236,15.2189675174013,4739,66.8044077134986,30.1871101871101,2.72,24941.3746397694,50.08316008316,16.5072765072765,11.9750519750519,7.02702702702702,14.4074844074844,31.6257559587335,48.4901076015272,27876227.5908203,24052.221372193
47,Southwest Baltimore,16843,8130,8713,73.5735914029567,12.7827584159591,2.8735973401413,2.96265510894733,1.07463041025945,6.73276732173603,49.7513987678761,10.3247639969126,18.2509054206495,7.73021433236359,52.80531971739,10.8887965326842,6288,60.6811145510835,33.3965190418748,2.81,25427.8423423423,49.5088747199724,17.4047906255385,12.0110287782181,9.58125107702912,11.4940547992417,35.7832450949859,49.2252931323283,37766068.8365479,28355.563581391
48,The Waverlies,8271,3646,4625,71.8292830371176,17.4464998186434,1.49921412162979,2.56317253052835,2.9379760609358,3.72385443114496,47.2826003883259,5.35606335388707,15.3669447467053,8.17313505017531,56.1842582517228,14.9195985975093,3279,50.1162790697674,26.2675626145387,2.41,39098.0174418604,34.0562003665241,16.8906536346976,14.9969456322541,7.7275503970678,26.3286499694563,20.5143540669856,44.2240373395565,20383750.5437012,18733.826879757
49,Washington Village/Pigtown,5403,2663,2740,57.6531556542661,33.7405145289653,2.5356283546178,3.42402369054229,0,2.64667777160836,55.9521127462911,7.42180270220248,9.95743105682028,9.0690357208958,64.7973348139922,8.75439570608921,2273,70.9601873536299,19.2515779981965,2.36,38851.6885245901,37.5112714156898,13.1199278629395,14.697926059513,6.76284941388638,27.9080252479711,22.5742574257425,34.2420937840785,39343262.0375977,36962.2600947677
50,Westport/Mount Winans/Lakeland,6745,3320,3425,66.2120088954781,21.704966641957,3.70644922164566,0.904373610081541,0,7.47220163083765,55.5717163331415,8.74722016308376,23.1875463306152,7.44255003706449,54.2327650111193,6.38991845811712,2499,68.4210526315789,42.0068027210884,2.83,36645.2405063291,35.7993197278911,16.454081632653,15.4761904761904,10.6292517006802,21.641156462585,21.8228498074454,40.1864801864801,45494092.9501953,42573.1244161851
51,Oldtown/Middle East,9474,4268,5206,87.2176483006122,8.71859826894659,1.79438463162339,0.474984167194426,0.18999366687777,1.60439096474561,25.2848577450838,3.69432130040109,20.6987544859615,11.7057209204137,51.688832594469,12.2123706987544,3792,86.7094408799266,26.9915883226125,2.25,19127.3794871794,56.1850569025235,9.62394854032657,15.5616031667491,4.70064324591786,13.9287481444829,40.1262916188289,55.1950898728627,24585968.2341919,23866.3281788863
52,Harbor East/Little Italy,5682,2821,2861,52.0943329813445,26.5399507215769,5.33262935586061,0.932770151355156,0.404787046814501,14.6955297430482,67.7341733214753,4.96304118268215,14.9067229848644,9.80288630763815,61.9852164730728,8.34213305174234,2305,67.2727272727272,29.5964125560538,2.17,46666.3333333333,33.6322869955157,8.60986547085201,11.8834080717488,6.99551569506726,38.8789237668161,26.8582755203171,33.3645735707591,10215859.0836182,18552.4075815937
53,Upton/Druid Heights,10210,4706,5504,91.6356513222331,4.22135161606268,1.86092066601371,1.19490695396669,0.450538687561214,0.636630754162585,16.4628841776878,7.80607247796278,22.6836434867776,11.4299706170421,47.2771792360431,10.8031341821743,4439,82.9640947288006,31.2485079971353,2.35,20467.6978527607,57.0541895440439,16.6388159465266,11.3869658629744,4.79828121269992,10.121747433755,42.9824561403508,64.8631239935587,16976622.3380127,19389.3078212169
54,Midtown,15353,7361,7992,30.8994984693545,52.7258516250895,6.28541653097114,3.32182635315573,0.68390542564971,6.08350159577932,63.7661265139148,2.26014459714713,3.58236175340324,15.8014720250113,63.5771510453982,14.7788705790399,9078,32.919254658385,5.4675118858954,1.65,47406.3954154727,30.0316957210776,15.1913063165044,14.5121122934118,8.30880688249943,31.9560787865066,5.41948931735278,16.1915621436716,23823949.9294434,25020.0969698082
55,Greenmount East,7853,3387,4466,93.9768241436393,3.28536864892397,0.254679740226664,0.305615688271998,0.203743792181331,1.97376798675665,11.4387989915404,7.30930854450528,20.7691328154845,7.83140201196994,51.1651598115369,12.9249968165032,3115,80.7947019867549,31.1554332874828,2.67,26563.2611683848,46.8707015130673,19.7730398899587,15.0962861072902,6.80880330123796,11.4511691884456,24.2006269592476,36.4477335800185,19072287.8240967,20797.4734578598
